Design,RecipeID,Level_Depth
ac97_ctrl_orig.bench,0,11
ac97_ctrl_orig.bench,1,11
ac97_ctrl_orig.bench,2,11
ac97_ctrl_orig.bench,3,11
ac97_ctrl_orig.bench,4,11
ac97_ctrl_orig.bench,5,11
ac97_ctrl_orig.bench,6,11
ac97_ctrl_orig.bench,7,11
ac97_ctrl_orig.bench,8,11
ac97_ctrl_orig.bench,9,11
ac97_ctrl_orig.bench,10,11
ac97_ctrl_orig.bench,11,11
ac97_ctrl_orig.bench,12,11
ac97_ctrl_orig.bench,13,11
ac97_ctrl_orig.bench,14,11
ac97_ctrl_orig.bench,15,11
ac97_ctrl_orig.bench,16,11
ac97_ctrl_orig.bench,17,11
ac97_ctrl_orig.bench,18,11
ac97_ctrl_orig.bench,19,11
ac97_ctrl_orig.bench,20,11
ac97_ctrl_orig.bench,21,11
ac97_ctrl_orig.bench,22,11
ac97_ctrl_orig.bench,23,11
ac97_ctrl_orig.bench,24,10
ac97_ctrl_orig.bench,25,11
ac97_ctrl_orig.bench,26,11
ac97_ctrl_orig.bench,27,11
ac97_ctrl_orig.bench,28,11
ac97_ctrl_orig.bench,29,11
ac97_ctrl_orig.bench,30,11
ac97_ctrl_orig.bench,31,11
ac97_ctrl_orig.bench,32,11
ac97_ctrl_orig.bench,33,11
ac97_ctrl_orig.bench,34,11
ac97_ctrl_orig.bench,35,11
ac97_ctrl_orig.bench,36,11
ac97_ctrl_orig.bench,37,11
ac97_ctrl_orig.bench,38,11
ac97_ctrl_orig.bench,39,11
ac97_ctrl_orig.bench,40,11
ac97_ctrl_orig.bench,41,11
ac97_ctrl_orig.bench,42,11
ac97_ctrl_orig.bench,43,11
ac97_ctrl_orig.bench,44,11
ac97_ctrl_orig.bench,45,11
ac97_ctrl_orig.bench,46,11
ac97_ctrl_orig.bench,47,11
ac97_ctrl_orig.bench,48,11
ac97_ctrl_orig.bench,49,11
ac97_ctrl_orig.bench,50,11
ac97_ctrl_orig.bench,51,11
ac97_ctrl_orig.bench,52,11
ac97_ctrl_orig.bench,53,11
ac97_ctrl_orig.bench,54,11
ac97_ctrl_orig.bench,55,11
ac97_ctrl_orig.bench,56,11
ac97_ctrl_orig.bench,57,11
ac97_ctrl_orig.bench,58,11
ac97_ctrl_orig.bench,59,11
ac97_ctrl_orig.bench,60,11
ac97_ctrl_orig.bench,61,11
ac97_ctrl_orig.bench,62,11
ac97_ctrl_orig.bench,63,11
ac97_ctrl_orig.bench,64,11
ac97_ctrl_orig.bench,65,11
ac97_ctrl_orig.bench,66,11
ac97_ctrl_orig.bench,67,11
ac97_ctrl_orig.bench,68,10
ac97_ctrl_orig.bench,69,11
ac97_ctrl_orig.bench,70,11
ac97_ctrl_orig.bench,71,11
ac97_ctrl_orig.bench,72,11
ac97_ctrl_orig.bench,73,11
ac97_ctrl_orig.bench,74,11
ac97_ctrl_orig.bench,75,11
ac97_ctrl_orig.bench,76,11
ac97_ctrl_orig.bench,77,11
ac97_ctrl_orig.bench,78,11
ac97_ctrl_orig.bench,79,11
ac97_ctrl_orig.bench,80,11
ac97_ctrl_orig.bench,81,11
ac97_ctrl_orig.bench,82,11
ac97_ctrl_orig.bench,83,11
ac97_ctrl_orig.bench,84,11
ac97_ctrl_orig.bench,85,11
ac97_ctrl_orig.bench,86,11
ac97_ctrl_orig.bench,87,11
ac97_ctrl_orig.bench,88,11
ac97_ctrl_orig.bench,89,11
